,Id,Number_of_dependents__c,Disability_Rating__c,days_seek_services,length_of_service,"Highest_Level_of_Education_Completed__c__2 Year Degree (AA, AS, etc.)","Highest_Level_of_Education_Completed__c__4 Year Degree (BA, BS, etc.)","Highest_Level_of_Education_Completed__c__Doctorate (PhD, MD, etc.)",Highest_Level_of_Education_Completed__c__High School/GED,"Highest_Level_of_Education_Completed__c__Post-Graduate Degree (MA, MS, JD, etc.)",Service_Branch__c__Air Force,Service_Branch__c__Army,Service_Branch__c__Coast Guard,Service_Branch__c__Marines,Service_Branch__c__Navy,Gender__c__Female,Gender__c__Male,complete_survey
36,0030z00002PrXNvAAN,0.0,0,0.0,7312.0,1,0,0,0,0,1,0,0,0,0,1,0,0
39,0030z00002PrXTLAA3,0.0,0,0.0,6267.0,0,0,0,1,0,0,1,0,0,0,0,1,0
40,0030z00002PrXU9AAN,0.0,30,2077.0,1460.0,0,1,0,0,0,0,0,0,1,0,1,0,1
42,0030z00002PrXe4AAF,0.0,0,0.0,9973.0,0,0,0,0,1,0,0,0,0,1,0,1,0
45,0030z00002PrXjnAAF,0.0,0,2850.0,1856.0,0,0,0,1,0,0,0,0,0,1,0,1,0
46,0030z00002PrXmNAAV,0.0,0,0.0,9345.0,0,0,0,1,0,0,1,0,0,0,0,1,0
47,0030z00002PrXpMAAV,0.0,0,66.0,7043.0,0,0,0,0,1,1,0,0,0,0,1,0,0
49,0030z00002PrXrmAAF,0.0,0,0.0,7250.0,0,0,0,1,0,0,1,0,0,0,0,1,0
51,0030z00002PrXwcAAF,0.0,0,0.0,1371.0,0,1,0,0,0,0,1,0,0,0,0,1,1
54,0030z00002PrY43AAF,0.0,10,2569.0,2556.0,0,0,0,1,0,0,1,0,0,0,0,1,0
57,0030z00002PrYCVAA3,0.0,0,0.0,9513.0,0,1,0,0,0,0,1,0,0,0,1,0,0
58,0030z00002PrYE7AAN,0.0,0,0.0,6990.0,0,0,0,1,0,0,1,0,0,0,0,1,0
59,0030z00002PrYGZAA3,0.0,0,0.0,7513.0,1,0,0,0,0,0,1,0,0,0,0,1,0
61,0030z00002PrYIaAAN,0.0,20,469.0,10227.0,0,0,0,0,1,0,1,0,0,0,0,1,0
66,0030z00002PrYQzAAN,0.0,0,0.0,7867.0,1,0,0,0,0,1,0,0,0,0,0,1,1
67,0030z00002PrYTtAAN,0.0,0,0.0,7331.0,0,1,0,0,0,0,1,0,0,0,0,1,0
69,0030z00002PrYavAAF,0.0,0,0.0,7305.0,0,0,0,1,0,0,0,1,0,0,0,1,0
70,0030z00002PrZ9qAAF,0.0,0,0.0,1461.0,0,0,0,1,0,1,0,0,0,0,0,1,0
77,0030z00002PrZHfAAN,0.0,40,1905.0,1826.0,0,1,0,0,0,0,0,0,1,0,0,1,0
78,0030z00002PrZM6AAN,0.0,50,1084.0,2142.0,0,1,0,0,0,0,0,0,1,0,0,1,0
79,0030z00002PrZNOAA3,0.0,0,0.0,3866.0,0,1,0,0,0,0,1,0,0,0,0,1,0
80,0030z00002PrZNxAAN,0.0,0,0.0,2594.0,0,0,0,1,0,0,1,0,0,0,0,1,1
83,0030z00002PrZVNAA3,0.0,10,105.0,9871.0,0,0,0,0,1,0,1,0,0,0,0,1,1
84,0030z00002PrZVXAA3,0.0,0,0.0,7737.0,0,0,0,1,0,0,0,0,1,0,1,0,0
86,0030z00002PrZW1AAN,0.0,0,0.0,1461.0,0,0,0,1,0,0,0,0,1,0,0,1,0
87,0030z00002PrZXsAAN,0.0,0,0.0,2735.0,0,0,0,1,0,0,0,0,0,1,0,1,0
88,0030z00002PrZYMAA3,0.0,0,10268.0,4034.0,0,0,0,1,0,0,1,0,0,0,0,1,0
89,0030z00002PrZZ0AAN,0.0,0,0.0,7305.0,0,0,0,1,0,0,1,0,0,0,0,1,0
92,0030z00002PrZhpAAF,0.0,0,534.0,7305.0,0,1,0,0,0,0,1,0,0,0,0,1,0
93,0030z00002PrZiYAAV,0.0,0,0.0,1460.0,0,0,0,1,0,0,1,0,0,0,0,1,0
94,0030z00002PrZsYAAV,0.0,0,0.0,7313.0,0,0,0,1,0,0,1,0,0,0,0,1,0
95,0030z00002PrZuAAAV,0.0,0,0.0,8279.0,0,1,0,0,0,0,0,0,0,1,0,1,0
99,0030z00002Pra0zAAB,0.0,40,0.0,2963.0,0,0,0,1,0,0,1,0,0,0,0,1,0
101,0030z00002PrbmfAAB,0.0,0,152.0,3738.0,1,0,0,0,0,0,0,0,0,1,1,0,0
103,0030z00002PrcFaAAJ,0.0,40,2322.0,1715.0,0,1,0,0,0,0,1,0,0,0,0,1,0
105,0030z00002PrcyGAAR,0.0,100,1140.0,9080.0,0,0,0,0,1,0,1,0,0,0,0,1,0
107,0030z00002Prd4dAAB,0.0,0,189.0,1984.0,0,0,0,1,0,0,0,0,0,1,1,0,0
108,0030z00002Prd7wAAB,0.0,0,0.0,1462.0,0,0,0,1,0,0,0,0,1,0,0,1,0
109,0030z00002PrdAgAAJ,0.0,0,0.0,7308.0,0,1,0,0,0,1,0,0,0,0,0,1,0
110,0030z00002PrdK2AAJ,0.0,0,0.0,11016.0,0,0,0,1,0,0,0,0,0,1,0,1,0
115,0030z00002Pre5dAAB,0.0,0,913.0,5296.0,0,0,0,1,0,0,1,0,0,0,0,1,0
121,0030z00002PreCAAAZ,0.0,0,0.0,2449.0,0,1,0,0,0,0,0,0,1,0,0,1,0
122,0030z00002PrewSAAR,0.0,0,8092.0,5494.0,0,1,0,0,0,0,1,0,0,0,0,1,0
123,0030z00002Prf1IAAR,0.0,50,3820.0,7912.0,0,0,0,1,0,0,0,0,1,0,0,1,0
125,0030z00002PrfdvAAB,0.0,0,2510.0,3136.0,0,1,0,0,0,0,0,0,0,1,0,1,0
126,0030z00002PrfgVAAR,0.0,100,501.0,5411.0,0,1,0,0,0,0,1,0,0,0,0,1,0
132,0030z00002PrhEkAAJ,0.0,0,778.0,2835.0,1,0,0,0,0,0,1,0,0,0,0,1,0
134,0030z00002PrhXlAAJ,0.0,0,317.0,8249.0,0,1,0,0,0,1,0,0,0,0,0,1,1
139,0030z00002PrhrMAAR,0.0,0,1414.0,2260.0,0,0,0,1,0,1,0,0,0,0,0,1,0
141,0030z00002PrhuaAAB,0.0,0,0.0,7320.0,0,1,0,0,0,1,0,0,0,0,0,1,0
143,0030z00002PrhzQAAR,0.0,0,0.0,9872.0,0,1,0,0,0,0,1,0,0,0,0,1,0
144,0030z00002PrhzkAAB,0.0,0,0.0,8766.0,1,0,0,0,0,1,0,0,0,0,0,1,0
145,0030z00002Pri2AAAR,0.0,80,3309.0,1136.0,0,0,0,1,0,0,1,0,0,0,1,0,0
147,0030z00002Pri3SAAR,0.0,0,0.0,7305.0,0,0,0,1,0,0,0,0,1,0,0,1,0
148,0030z00002Pri3hAAB,0.0,0,0.0,9240.0,0,0,0,1,0,0,1,0,0,0,0,1,0
149,0030z00002Pri46AAB,0.0,0,0.0,4030.0,0,0,0,1,0,0,0,0,0,1,0,1,1
152,0030z00002Pri6qAAB,0.0,0,0.0,9779.0,1,0,0,0,0,0,0,0,0,1,0,1,0
153,0030z00002PriAsAAJ,0.0,70,1161.0,1463.0,0,0,0,1,0,0,1,0,0,0,0,1,0
156,0030z00002PriIrAAJ,0.0,0,0.0,3649.0,0,0,0,0,1,0,0,0,1,0,0,1,0
160,0030z00002PriMAAAZ,0.0,0,0.0,7312.0,0,0,0,1,0,0,0,0,0,1,0,1,0
163,0030z00002PriTQAAZ,0.0,60,1417.0,1917.0,0,1,0,0,0,0,0,0,1,0,0,1,0
164,0030z00002PriUdAAJ,0.0,0,0.0,2638.0,0,1,0,0,0,0,1,0,0,0,0,1,1
166,0030z00002PriXmAAJ,0.0,0,0.0,973.0,0,0,0,1,0,1,0,0,0,0,1,0,0
167,0030z00002PriZ9AAJ,0.0,0,976.0,4328.0,0,1,0,0,0,0,0,0,1,0,0,1,0
169,0030z00002PridGAAR,0.0,0,0.0,10043.0,0,0,0,0,1,0,1,0,0,0,0,1,0
170,0030z00002PridQAAR,0.0,0,0.0,2574.0,0,0,0,1,0,0,1,0,0,0,0,1,0
173,0030z00002PriivAAB,0.0,40,1840.0,8448.0,0,0,0,0,1,0,1,0,0,0,0,1,0
174,0030z00002PrioPAAR,0.0,20,1656.0,7654.0,0,1,0,0,0,0,1,0,0,0,0,1,0
175,0030z00002PripDAAR,0.0,0,0.0,7337.0,1,0,0,0,0,0,0,0,0,1,0,1,0
177,0030z00002PriseAAB,0.0,0,0.0,7308.0,0,0,0,1,0,1,0,0,0,0,0,1,0
178,0030z00002PriviAAB,0.0,0,2935.0,8186.0,0,0,0,0,1,1,0,0,0,0,1,0,0
179,0030z00002PrivsAAB,0.0,80,895.0,1461.0,0,0,0,1,0,0,0,0,0,1,0,1,0
180,0030z00002PrivxAAB,3.0,0,23.0,1460.0,0,1,0,0,0,0,0,0,0,1,0,1,0
182,0030z00002Prix5AAB,3.0,70,233.0,839.0,0,0,0,1,0,0,1,0,0,0,0,1,0
183,0030z00002PrixjAAB,3.0,0,198.0,1392.0,0,0,0,1,0,0,1,0,0,0,0,1,0
184,0030z00002Priy8AAB,6.0,0,154.0,858.0,0,0,0,1,0,0,1,0,0,0,1,0,0
187,0030z00002PrizVAAR,0.0,0,0.0,2190.0,0,0,0,0,1,0,1,0,0,0,0,1,0
188,0030z00002Prj0dAAB,0.0,0,199.0,7555.0,0,0,0,1,0,0,1,0,0,0,0,1,0
195,0030z00002Prj70AAB,0.0,0,0.0,9510.0,0,0,0,1,0,0,0,0,1,0,0,1,0
197,0030z00002Prj8SAAR,0.0,0,4619.0,1557.0,1,0,0,0,0,0,1,0,0,0,1,0,0
198,0030z00002PrjA4AAJ,0.0,50,1413.0,9759.0,0,0,0,0,1,0,0,0,0,1,0,1,0
199,0030z00002PrjAJAAZ,0.0,0,4841.0,1460.0,0,1,0,0,0,0,0,0,1,0,1,0,0
200,0030z00002PrjAsAAJ,0.0,0,0.0,8769.0,0,0,0,1,0,0,1,0,0,0,0,1,0
201,0030z00002PrjDIAAZ,0.0,0,700.0,2922.0,1,0,0,0,0,0,0,0,0,1,0,1,0
204,0030z00002PrjHAAAZ,0.0,80,43.0,7319.0,0,0,0,0,1,1,0,0,0,0,0,1,0
205,0030z00002PrjIDAAZ,0.0,0,0.0,1825.0,0,0,0,1,0,0,0,0,1,0,0,1,0
206,0030z00002PrjIIAAZ,0.0,60,6433.0,5083.0,0,0,0,1,0,1,0,0,0,0,0,1,0
210,0030z00002PrjMZAAZ,0.0,0,0.0,8765.0,1,0,0,0,0,1,0,0,0,0,0,1,0
213,0030z00002PrjUsAAJ,0.0,90,3805.0,1815.0,0,0,0,0,1,0,1,0,0,0,1,0,0
219,0030z00002PrjdpAAB,0.0,0,5324.0,1378.0,0,0,1,0,0,0,0,0,1,0,0,1,0
220,0030z00002PrjeOAAR,0.0,30,2417.0,1767.0,0,1,0,0,0,0,1,0,0,0,0,1,0
226,0030z00002PrjrzAAB,0.0,100,957.0,7490.0,0,0,0,0,1,0,1,0,0,0,0,1,0
232,0030z00002PrkByAAJ,0.0,0,0.0,1461.0,0,0,0,1,0,0,1,0,0,0,0,1,0
234,0030z00002PrkJ9AAJ,0.0,0,0.0,3286.0,0,0,0,1,0,0,0,0,1,0,0,1,0
235,0030z00002PrkJdAAJ,0.0,90,2366.0,1605.0,0,1,0,0,0,0,1,0,0,0,0,1,0
236,0030z00002PrkLPAAZ,0.0,0,0.0,7604.0,0,0,0,0,1,0,1,0,0,0,0,1,0
240,0030z00002PrkSaAAJ,0.0,0,0.0,2773.0,0,0,0,1,0,0,1,0,0,0,0,1,0
241,0030z00002PrkSpAAJ,0.0,10,6963.0,1094.0,0,0,0,1,0,0,1,0,0,0,0,1,0
243,0030z00002PrkTdAAJ,0.0,0,0.0,5963.0,0,0,0,0,1,0,1,0,0,0,1,0,0
250,0030z00002Prko6AAB,0.0,20,2531.0,4748.0,0,1,0,0,0,0,1,0,0,0,0,1,0
251,0030z00002PrkoBAAR,0.0,40,1083.0,2306.0,0,0,0,1,0,0,1,0,0,0,0,1,0
252,0030z00002Prl5NAAR,0.0,40,1745.0,1461.0,0,1,0,0,0,0,0,0,1,0,0,1,0
253,0030z00002Prl5cAAB,0.0,0,0.0,6556.0,0,1,0,0,0,0,1,0,0,0,0,1,0
258,0030z00002Prl7xAAB,0.0,0,1247.0,8334.0,0,0,0,1,0,0,1,0,0,0,1,0,0
259,0030z00002PrlAhAAJ,0.0,0,0.0,7625.0,0,1,0,0,0,1,0,0,0,0,0,1,0
261,0030z00002PrlsRAAR,0.0,0,0.0,8309.0,0,0,0,0,1,0,0,0,1,0,0,1,0
262,0030z00002Prm2qAAB,0.0,0,0.0,8330.0,1,0,0,0,0,0,1,0,0,0,0,1,0
264,0030z00002PrmfTAAR,0.0,0,0.0,2271.0,0,1,0,0,0,0,1,0,0,0,0,1,0
265,0030z00002Prmh5AAB,0.0,0,0.0,8889.0,0,1,0,0,0,0,0,0,1,0,0,1,0
267,0030z00002PrmhtAAB,0.0,0,4684.0,7381.0,0,0,0,1,0,1,0,0,0,0,1,0,0
269,0030z00002PrmicAAB,0.0,0,0.0,7327.0,0,1,0,0,0,1,0,0,0,0,0,1,0
271,0030z00002PrmqgAAB,0.0,0,0.0,3401.0,0,0,0,1,0,0,1,0,0,0,0,1,0
274,0030z00002PrmtGAAR,0.0,80,1812.0,7309.0,0,0,0,1,0,0,1,0,0,0,0,1,0
277,0030z00002Prmz0AAB,0.0,70,7961.0,1462.0,0,1,0,0,0,0,0,0,1,0,0,1,1
278,0030z00002Prn0WAAR,0.0,0,0.0,7307.0,0,0,0,1,0,0,1,0,0,0,0,1,0
279,0030z00002Prn15AAB,0.0,0,0.0,7317.0,0,0,0,1,0,0,0,0,1,0,0,1,0
280,0030z00002Prn4iAAB,0.0,0,0.0,8775.0,1,0,0,0,0,1,0,0,0,0,1,0,1
293,0030z00002PrnOGAAZ,0.0,0,0.0,2191.0,0,1,0,0,0,1,0,0,0,0,0,1,0
295,0030z00002Pro3zAAB,0.0,0,0.0,5569.0,0,0,0,1,0,0,1,0,0,0,0,1,0
296,0030z00002Pro65AAB,0.0,0,0.0,3833.0,0,0,0,1,0,0,1,0,0,0,0,1,0
303,0030z00002PrpOqAAJ,0.0,100,1629.0,1614.0,1,0,0,0,0,0,1,0,0,0,0,1,1
311,0030z00002PrqOUAAZ,0.0,0,0.0,9255.0,0,0,0,0,1,0,1,0,0,0,0,1,0
312,0030z00002PrqOZAAZ,0.0,0,0.0,5808.0,1,0,0,0,0,0,1,0,0,0,0,1,0
315,0030z00002PrqQ5AAJ,0.0,100,6080.0,2780.0,0,0,0,0,1,0,1,0,0,0,1,0,0
318,0030z00002PrqZRAAZ,0.0,0,9522.0,2838.0,0,1,0,0,0,0,0,0,0,1,0,1,1
319,0030z00002PrqZgAAJ,0.0,0,5896.0,1461.0,0,1,0,0,0,0,0,0,0,1,1,0,0
320,0030z00002Prqd4AAB,0.0,10,8260.0,4383.0,0,0,0,1,0,1,0,0,0,0,1,0,0
326,0030z00002PrqkJAAR,0.0,0,1766.0,2703.0,0,0,0,1,0,0,1,0,0,0,0,1,0
327,0030z00002Prql2AAB,0.0,60,3137.0,4589.0,0,1,0,0,0,1,0,0,0,0,1,0,0
330,0030z00002Prqp7AAB,0.0,0,0.0,2191.0,0,0,0,1,0,0,1,0,0,0,0,1,0
331,0030z00002PrqpWAAR,0.0,0,0.0,2830.0,0,0,0,1,0,0,1,0,0,0,0,1,0
332,0030z00002PrqrNAAR,0.0,0,0.0,8521.0,1,0,0,0,0,0,1,0,0,0,0,1,0
333,0030z00002PrqxjAAB,0.0,0,0.0,8896.0,1,0,0,0,0,0,0,0,0,1,0,1,0
334,0030z00002PrqyDAAR,0.0,40,1942.0,1460.0,0,1,0,0,0,0,0,0,0,1,1,0,0
337,0030z00002Prr4gAAB,0.0,0,0.0,3567.0,0,0,0,1,0,0,1,0,0,0,0,1,0
340,0030z00002Prr7eAAB,0.0,0,0.0,13227.0,0,0,0,1,0,0,0,0,0,1,0,1,0
345,0030z00002PrrEfAAJ,0.0,50,721.0,2557.0,0,1,0,0,0,1,0,0,0,0,0,1,0
346,0030z00002PrrHZAAZ,0.0,0,0.0,7391.0,0,1,0,0,0,0,0,0,1,0,0,1,0
347,0030z00002PrrIrAAJ,0.0,0,0.0,1277.0,0,0,0,1,0,0,1,0,0,0,0,1,0
350,0030z00002PrrJlAAJ,0.0,0,0.0,4032.0,0,0,0,0,1,0,1,0,0,0,1,0,0
351,0030z00002PrrJmAAJ,0.0,50,7195.0,3066.0,0,0,0,1,0,0,0,0,0,1,0,1,0
353,0030z00002PrrJoAAJ,0.0,0,0.0,7310.0,0,0,0,0,1,1,0,0,0,0,1,0,1
354,0030z00002PrrJpAAJ,0.0,0,2915.0,7709.0,0,0,0,0,1,0,1,0,0,0,0,1,1
360,0030z00002PrrJvAAJ,0.0,10,3654.0,1891.0,0,0,0,0,1,0,1,0,0,0,0,1,0
370,0030z00002PrrK5AAJ,0.0,0,1595.0,2247.0,0,0,0,0,1,1,0,0,0,0,1,0,0
380,0030z00002PrrKFAAZ,0.0,0,0.0,11022.0,0,0,1,0,0,0,1,0,0,0,0,1,1
381,0030z00002PrrKGAAZ,0.0,0,22.0,7323.0,0,0,0,0,1,1,0,0,0,0,1,0,0
399,0030z00002PrrKYAAZ,0.0,0,0.0,7750.0,0,1,0,0,0,1,0,0,0,0,0,1,0
401,0030z00002PrrKaAAJ,0.0,0,0.0,7450.0,0,0,0,0,1,0,1,0,0,0,0,1,0
405,0030z00002PrrKeAAJ,0.0,0,0.0,2679.0,0,0,0,0,1,0,1,0,0,0,1,0,0
411,0030z00002PrrKkAAJ,0.0,0,0.0,3757.0,0,1,0,0,0,0,0,0,0,1,0,1,0
420,0030z00002PrrKtAAJ,0.0,20,1907.0,1471.0,0,1,0,0,0,0,0,0,1,0,0,1,0
433,0030z00002PrrL6AAJ,0.0,40,7766.0,2389.0,0,1,0,0,0,0,0,0,0,1,1,0,1
435,0030z00002PrrLhAAJ,0.0,0,1856.0,1461.0,0,1,0,0,0,0,0,0,1,0,1,0,0
436,0030z00002PrrN0AAJ,0.0,0,0.0,3380.0,1,0,0,0,0,0,1,0,0,0,1,0,0
440,0030z00002PrrNyAAJ,0.0,0,11838.0,1756.0,0,1,0,0,0,0,0,0,1,0,0,1,0
442,0030z00002PrrOcAAJ,0.0,0,2357.0,7330.0,0,0,0,0,1,0,1,0,0,0,0,1,0
443,0030z00002PrrPxAAJ,0.0,0,0.0,3604.0,0,0,0,1,0,0,1,0,0,0,0,1,0
444,0030z00002PrrQRAAZ,0.0,0,0.0,1893.0,0,0,0,1,0,0,1,0,0,0,0,1,0
445,0030z00002PrrUTAAZ,0.0,20,6509.0,77.0,1,0,0,0,0,0,1,0,0,0,1,0,0
450,0030z00002PrrraAAB,0.0,0,1930.0,2100.0,0,0,0,1,0,0,1,0,0,0,0,1,0
452,0030z00002PrruZAAR,0.0,0,0.0,9720.0,1,0,0,0,0,0,0,0,0,1,0,1,0
455,0030z00002PrrxUAAR,0.0,10,0.0,12968.0,0,0,0,1,0,0,1,0,0,0,0,1,0
458,0030z00002PrrzzAAB,3.0,80,220.0,1038.0,0,0,0,1,0,0,1,0,0,0,0,1,0
459,0030z00002Prs17AAB,0.0,0,105.0,7314.0,0,0,0,0,1,0,0,0,0,1,0,1,0
460,0030z00002Prs3rAAB,0.0,0,7980.0,1096.0,0,0,0,0,1,0,0,0,0,1,1,0,0
463,0030z00002Prs5wAAB,0.0,0,0.0,7313.0,0,1,0,0,0,1,0,0,0,0,1,0,0
465,0030z00002Prs90AAB,0.0,0,0.0,1510.0,0,0,0,1,0,0,1,0,0,0,0,1,0
468,0030z00002PrsGpAAJ,0.0,0,0.0,7351.0,0,1,0,0,0,0,1,0,0,0,0,1,0
471,0030z00002PrsKsAAJ,0.0,0,0.0,4444.0,0,1,0,0,0,1,0,0,0,0,0,1,0
472,0030z00002PrsQcAAJ,0.0,0,0.0,3471.0,0,1,0,0,0,0,1,0,0,0,0,1,0
473,0030z00002PrsVwAAJ,0.0,0,0.0,7427.0,0,0,0,0,1,0,1,0,0,0,0,1,0
474,0030z00002PrsWGAAZ,0.0,100,4771.0,3480.0,0,1,0,0,0,0,1,0,0,0,0,1,0
483,0030z00002PrsgjAAB,0.0,0,1164.0,3202.0,0,0,0,1,0,0,1,0,0,0,0,1,0
484,0030z00002PrskzAAB,0.0,0,861.0,804.0,1,0,0,0,0,0,1,0,0,0,0,1,0
486,0030z00002PrssFAAR,0.0,0,0.0,7959.0,0,0,0,0,1,0,1,0,0,0,1,0,0
487,0030z00002Prsy3AAB,0.0,0,0.0,2554.0,0,0,0,1,0,0,1,0,0,0,1,0,0
491,0030z00002Prt9WAAR,0.0,0,0.0,10598.0,0,0,0,1,0,0,1,0,0,0,0,1,0
492,0030z00002PrtL6AAJ,0.0,0,0.0,7602.0,0,0,0,0,1,0,1,0,0,0,0,1,0
494,0030z00002PrtOKAAZ,0.0,80,743.0,7343.0,0,1,0,0,0,0,1,0,0,0,0,1,0
496,0030z00002Prtd0AAB,0.0,90,12440.0,868.0,1,0,0,0,0,1,0,0,0,0,0,1,0
497,0030z00002PrtdUAAR,0.0,100,2499.0,2268.0,0,1,0,0,0,0,1,0,0,0,0,1,0
502,0030z00002PrtnpAAB,0.0,0,0.0,2205.0,1,0,0,0,0,0,1,0,0,0,1,0,0
506,0030z00002PrtvkAAB,0.0,50,6730.0,5844.0,0,0,0,0,1,0,0,0,0,1,0,1,0
508,0030z00002PrtwiAAB,0.0,50,8215.0,815.0,0,1,0,0,0,0,0,0,0,1,0,1,0
516,0030z00002Pru7lAAB,0.0,50,1352.0,4773.0,0,1,0,0,0,0,0,0,0,1,1,0,0
517,0030z00002Pru8UAAR,0.0,0,0.0,4307.0,1,0,0,0,0,0,1,0,0,0,0,1,0
521,0030z00002PruBdAAJ,0.0,90,3725.0,1280.0,0,0,0,0,1,1,0,0,0,0,1,0,0
523,0030z00002PruBsAAJ,0.0,0,0.0,1461.0,0,0,0,1,0,0,0,0,1,0,1,0,0
525,0030z00002PruDUAAZ,0.0,0,0.0,1936.0,0,1,0,0,0,0,1,0,0,0,1,0,0
526,0030z00002PruESAAZ,0.0,0,83.0,12061.0,0,0,0,1,0,0,0,0,1,0,0,1,0
529,0030z00002PruFkAAJ,0.0,70,4686.0,3701.0,0,0,0,1,0,0,0,0,0,1,1,0,0
530,0030z00002PruG9AAJ,0.0,0,0.0,3534.0,1,0,0,0,0,0,1,0,0,0,1,0,0
534,0030z00002PruMgAAJ,0.0,80,1809.0,7794.0,1,0,0,0,0,1,0,0,0,0,1,0,0
535,0030z00002PruNtAAJ,0.0,0,0.0,3284.0,0,0,0,1,0,0,0,0,0,1,0,1,0
540,0030z00002PruVEAAZ,0.0,0,0.0,2107.0,1,0,0,0,0,1,0,0,0,0,0,1,0
542,0030z00002PruVYAAZ,0.0,0,0.0,5347.0,0,0,0,0,1,1,0,0,0,0,0,1,0
544,0030z00002PrubCAAR,0.0,0,0.0,2190.0,0,0,0,1,0,1,0,0,0,0,0,1,0
545,0030z00002PrucUAAR,0.0,0,0.0,4012.0,0,0,0,1,0,0,0,0,0,1,0,1,0
546,0030z00002PrudmAAB,0.0,20,664.0,2192.0,0,1,0,0,0,0,0,0,0,1,1,0,0
553,0030z00002Prut6AAB,0.0,0,1480.0,791.0,0,0,0,1,0,0,0,0,0,1,0,1,1
554,0030z00002Prv0HAAR,0.0,60,293.0,7388.0,0,0,0,0,1,0,1,0,0,0,0,1,0
556,0030z00002Prv5RAAR,0.0,0,0.0,7689.0,0,1,0,0,0,0,0,0,0,1,0,1,0
557,0030z00002Prv73AAB,0.0,30,5406.0,4231.0,0,0,0,0,1,1,0,0,0,0,1,0,0
558,0030z00002Prv9sAAB,0.0,0,0.0,5623.0,0,1,0,0,0,0,1,0,0,0,0,1,1
559,0030z00002PrvACAAZ,0.0,0,0.0,1461.0,1,0,0,0,0,0,1,0,0,0,0,1,0
561,0030z00002PrvJJAAZ,0.0,0,415.0,7313.0,1,0,0,0,0,0,0,0,0,1,1,0,0
563,0030z00002PrvKMAAZ,0.0,0,0.0,7305.0,0,0,0,1,0,0,1,0,0,0,0,1,0
566,0030z00002PrvV7AAJ,0.0,10,8968.0,2770.0,0,1,0,0,0,0,0,0,0,1,0,1,0
567,0030z00002PrvVlAAJ,0.0,0,0.0,7312.0,0,1,0,0,0,0,1,0,0,0,0,1,0
569,0030z00002PrvXmAAJ,0.0,0,0.0,10962.0,0,1,0,0,0,0,1,0,0,0,0,1,0
576,0030z00002PrvnYAAR,0.0,60,0.0,1147.0,0,0,0,1,0,0,1,0,0,0,1,0,1
577,0030z00002PrvnsAAB,0.0,0,392.0,1857.0,1,0,0,0,0,0,1,0,0,0,1,0,0
578,0030z00002PrvpLAAR,3.0,0,144.0,5500.0,0,0,0,1,0,0,1,0,0,0,0,1,0
579,0030z00002PrvtHAAR,0.0,0,0.0,1083.0,0,0,0,1,0,0,1,0,0,0,0,1,0
581,0030z00002PrvzkAAB,0.0,0,0.0,9160.0,1,0,0,0,0,0,1,0,0,0,1,0,0
582,0030z00002Prw23AAB,0.0,0,0.0,4564.0,0,0,0,1,0,0,1,0,0,0,0,1,0
584,0030z00002Prw8LAAR,0.0,0,2263.0,3773.0,0,0,0,0,1,0,1,0,0,0,0,1,0
